epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.241,1.42115,3.60609,1.2458,0.01974,0.47936,0.28304,0.23186,1.08137,3.71715,0.99936,0.00016149,0.00016149,0.00016149
2,316.155,1.14708,2.02208,1.08217,0.99941,0.14614,0.49763,0.38291,1.03785,3.24747,0.99822,0.000327396,0.000327396,0.000327396
3,684.632,1.04822,1.12573,1.05271,0.99933,0.25125,0.85923,0.59109,1.05918,2.65353,1.03554,0.000489953,0.000489953,0.000489953
4,1428.47,1.0156,0.91597,1.03239,0.9948,0.7045,0.98176,0.68813,1.00004,1.82823,1.00058,0.00064916,0.00064916,0.00064916
5,1827.22,0.95876,0.78387,0.99999,0.9828,0.93757,0.98867,0.70256,0.94199,1.13527,0.98633,0.000738548,0.000738548,0.000738548
6,1982.19,0.95447,0.7486,1.00839,0.97881,0.94433,0.9876,0.7076,0.93757,1.01451,0.98375,0.000730935,0.000730935,0.000730935
7,2142.71,0.94865,0.71337,0.99625,0.97324,0.97851,0.9874,0.71572,0.92333,0.78966,0.97847,0.000723321,0.000723321,0.000723321
8,2307.88,0.94681,0.70136,0.99835,0.98606,0.98697,0.98849,0.71546,0.9325,0.7677,0.97378,0.000715708,0.000715708,0.000715708
9,2480.02,0.92712,0.66868,0.98831,0.98862,0.99194,0.98695,0.72156,0.90317,0.64272,0.97138,0.000708095,0.000708095,0.000708095
10,2634,0.90926,0.64435,0.97278,0.99328,0.99506,0.99006,0.72631,0.90417,0.61804,0.97118,0.000700482,0.000700482,0.000700482
11,2790.12,0.92073,0.62635,0.98092,0.98993,0.99181,0.98385,0.71807,0.91636,0.6249,0.98134,0.000692869,0.000692869,0.000692869
12,2952.63,0.90642,0.61748,0.97599,0.99067,0.99635,0.99122,0.7232,0.91214,0.65689,0.97814,0.000685256,0.000685256,0.000685256
13,3104.56,0.89607,0.61073,0.97484,0.99425,0.99647,0.99119,0.72258,0.91854,0.5872,0.97941,0.000677643,0.000677643,0.000677643
14,3261.21,0.89233,0.59775,0.97534,0.99345,0.99506,0.98909,0.72193,0.92002,0.58108,0.98305,0.00067003,0.00067003,0.00067003
15,3421.98,0.89447,0.58783,0.97344,0.99131,0.99365,0.98597,0.72897,0.89767,0.57019,0.97093,0.000662417,0.000662417,0.000662417
16,3581.98,0.90484,0.57853,0.97202,0.99054,0.99252,0.98444,0.72206,0.9138,0.5735,0.97084,0.000654804,0.000654804,0.000654804
17,3780.77,0.88897,0.56354,0.96843,0.99324,0.99683,0.9921,0.7286,0.90989,0.55576,0.97673,0.00064719,0.00064719,0.00064719
18,3932.47,0.88993,0.56449,0.96383,0.99222,0.994,0.98809,0.73651,0.87602,0.53655,0.96101,0.000639577,0.000639577,0.000639577
19,4082.41,0.88449,0.55358,0.96924,0.9937,0.99506,0.98944,0.7352,0.88267,0.5329,0.96044,0.000631964,0.000631964,0.000631964
20,4233.05,0.879,0.54891,0.96399,0.99469,0.99612,0.99114,0.73276,0.88916,0.5386,0.95565,0.000624351,0.000624351,0.000624351
21,4383.75,0.87184,0.54582,0.96892,0.99456,0.99636,0.99212,0.73698,0.88444,0.5151,0.95949,0.000616738,0.000616738,0.000616738
22,4535.24,0.87818,0.55127,0.9671,0.99337,0.99577,0.9919,0.73493,0.88396,0.52604,0.95772,0.000609125,0.000609125,0.000609125
23,4686.79,0.87471,0.53044,0.96102,0.99459,0.99683,0.99243,0.73312,0.90371,0.49887,0.9753,0.000601512,0.000601512,0.000601512
24,4838.19,0.88161,0.53432,0.96552,0.99401,0.99542,0.98974,0.72695,0.89801,0.504,0.96964,0.000593899,0.000593899,0.000593899
25,4989.94,0.87503,0.52738,0.97057,0.99516,0.99683,0.99222,0.72951,0.90726,0.50791,0.97008,0.000586286,0.000586286,0.000586286
26,5141.15,0.87352,0.51827,0.96399,0.99361,0.99568,0.99065,0.74119,0.86956,0.48533,0.95377,0.000578672,0.000578672,0.000578672
27,5291.97,0.87266,0.5182,0.96656,0.99374,0.99542,0.99022,0.733,0.88705,0.48971,0.96275,0.000571059,0.000571059,0.000571059
28,5443.4,0.87137,0.51545,0.96295,0.99267,0.99495,0.98882,0.7417,0.87483,0.48332,0.96263,0.000563446,0.000563446,0.000563446
29,5594.84,0.86533,0.50833,0.95382,0.99436,0.99577,0.98989,0.73968,0.87894,0.47879,0.96011,0.000555833,0.000555833,0.000555833
30,5747.59,0.85505,0.50133,0.95855,0.99368,0.99542,0.9906,0.7458,0.87488,0.46865,0.95771,0.00054822,0.00054822,0.00054822
31,5900.32,0.85803,0.49748,0.95498,0.99443,0.99612,0.9918,0.74717,0.87255,0.47158,0.95556,0.000540607,0.000540607,0.000540607
32,6059.33,0.87256,0.49281,0.95931,0.99422,0.99577,0.99202,0.7457,0.87183,0.46687,0.95627,0.000532994,0.000532994,0.000532994
33,6217.97,0.84174,0.49313,0.94917,0.99461,0.99683,0.99234,0.74371,0.87913,0.47113,0.95938,0.000525381,0.000525381,0.000525381
34,6378.14,0.85506,0.48689,0.96297,0.99417,0.99612,0.99132,0.74424,0.87272,0.45677,0.95783,0.000517768,0.000517768,0.000517768
35,7048.22,0.86376,0.49265,0.9593,0.99557,0.99647,0.99235,0.74556,0.87033,0.46054,0.95569,0.000510155,0.000510155,0.000510155
36,7199.1,0.85918,0.48908,0.95341,0.99292,0.994,0.98811,0.73944,0.88392,0.46008,0.95885,0.000502541,0.000502541,0.000502541
37,7351.4,0.84941,0.4776,0.95564,0.99325,0.99506,0.98993,0.74704,0.87299,0.45592,0.9558,0.000494928,0.000494928,0.000494928
38,7503.43,0.85526,0.4794,0.95775,0.99489,0.99647,0.99298,0.74525,0.87316,0.45234,0.95795,0.000487315,0.000487315,0.000487315
39,7658.6,0.8438,0.47211,0.9524,0.99402,0.99506,0.98975,0.74899,0.86085,0.44167,0.95189,0.000479702,0.000479702,0.000479702
40,7813.05,0.84571,0.46812,0.95128,0.99516,0.99663,0.99189,0.75004,0.87008,0.43741,0.95197,0.000472089,0.000472089,0.000472089
41,7967.56,0.84747,0.4685,0.94889,0.99428,0.99594,0.99131,0.75056,0.86357,0.44513,0.95205,0.000464476,0.000464476,0.000464476
42,8125.37,0.83798,0.4644,0.9523,0.9933,0.99471,0.99015,0.75413,0.8555,0.43227,0.94534,0.000456863,0.000456863,0.000456863
43,8286.05,0.84269,0.46423,0.9568,0.99374,0.99542,0.99087,0.75102,0.85836,0.43335,0.9529,0.00044925,0.00044925,0.00044925
44,8442.88,0.84819,0.46698,0.95005,0.99515,0.99683,0.99291,0.75293,0.86331,0.43172,0.95267,0.000441637,0.000441637,0.000441637
45,8603.27,0.8375,0.45731,0.95215,0.99389,0.99542,0.99098,0.75491,0.85364,0.42969,0.94903,0.000434024,0.000434024,0.000434024
46,8773.37,0.83074,0.45365,0.94708,0.99428,0.99542,0.99048,0.75335,0.85991,0.42867,0.94947,0.000426411,0.000426411,0.000426411
47,8933.93,0.84717,0.45683,0.94887,0.9933,0.99506,0.98996,0.75387,0.85859,0.41947,0.94931,0.000418797,0.000418797,0.000418797
48,9103.54,0.84175,0.45377,0.95284,0.9919,0.99365,0.98921,0.75552,0.85932,0.41845,0.9483,0.000411184,0.000411184,0.000411184
49,9262.76,0.84396,0.45685,0.95094,0.99461,0.99612,0.99258,0.75368,0.86072,0.42834,0.95141,0.000403571,0.000403571,0.000403571
50,9416.23,0.84014,0.4512,0.95173,0.99463,0.99612,0.99223,0.75057,0.85899,0.41831,0.95165,0.000395958,0.000395958,0.000395958
51,9583.39,0.83382,0.45493,0.95145,0.99338,0.99471,0.98924,0.75024,0.86459,0.41862,0.95268,0.000388345,0.000388345,0.000388345
52,9739.22,0.8346,0.4454,0.95419,0.99207,0.9933,0.98814,0.75427,0.85595,0.41248,0.94877,0.000380732,0.000380732,0.000380732
53,9892.26,0.82658,0.44486,0.95805,0.99309,0.99471,0.98982,0.75625,0.85423,0.42061,0.94675,0.000373119,0.000373119,0.000373119
54,10047.9,0.83553,0.43924,0.96096,0.99219,0.994,0.98816,0.75404,0.85583,0.42884,0.94697,0.000365506,0.000365506,0.000365506
55,10199.8,0.82888,0.43701,0.95152,0.99553,0.99683,0.99235,0.75117,0.86111,0.41241,0.95151,0.000357893,0.000357893,0.000357893
56,10367.4,0.83719,0.44116,0.94948,0.99439,0.99569,0.99142,0.75265,0.85976,0.40315,0.94993,0.00035028,0.00035028,0.00035028
57,10535.5,0.82449,0.43604,0.94868,0.99346,0.99486,0.99064,0.75918,0.85296,0.4028,0.94607,0.000342666,0.000342666,0.000342666
58,10695.8,0.84814,0.43608,0.96425,0.99381,0.99542,0.99019,0.75767,0.8538,0.40633,0.94581,0.000335053,0.000335053,0.000335053
59,10848.3,0.82684,0.43464,0.94758,0.99427,0.99612,0.9915,0.75472,0.85855,0.398,0.95055,0.00032744,0.00032744,0.00032744
60,11002.9,0.82453,0.42643,0.94951,0.99483,0.99612,0.99274,0.74963,0.8558,0.40347,0.95036,0.000319827,0.000319827,0.000319827
61,11162,0.82552,0.42553,0.94348,0.99385,0.99542,0.99128,0.75579,0.84838,0.39914,0.94638,0.000312214,0.000312214,0.000312214
62,11321,0.83146,0.43021,0.95086,0.99445,0.99592,0.99179,0.75976,0.85371,0.39851,0.94703,0.000304601,0.000304601,0.000304601
63,11491.1,0.83723,0.42724,0.95553,0.99415,0.99577,0.99104,0.76127,0.84202,0.38832,0.94515,0.000296988,0.000296988,0.000296988
